"movies.name","movies.year","movies.rank","movies_genres.genre"
"Aliens of the Deep","2005","6.5","Documentary"
"Expedition: Bismarck","2002","7.5","Documentary"
"Ghosts of the Abyss","2003","6.7","Documentary"
"Ghosts of the Abyss","2003","6.7","Family"
"Ghosts of the Abyss","2003","6.7","Short"
"Inglorious Bastards","2006","8.3","Action"
"Inglorious Bastards","2006","8.3","Drama"
"Inglorious Bastards","2006","8.3","War"
"Kill Bill: Vol. 1","2003","8.4","Action"
"Kill Bill: Vol. 1","2003","8.4","Crime"
"Kill Bill: Vol. 1","2003","8.4","Thriller"
"Kill Bill: Vol. 2","2004","8.2","Action"
"Kill Bill: Vol. 2","2004","8.2","Drama"
"Kill Bill: Vol. 2","2004","8.2","Romance"
"Kill Bill: Vol. 2","2004","8.2","Thriller"
