"actors.first_name","actors.last_name"
"James (I)","Cameron"
"Richard","Doyle"
"Bob","Elkins"
"Fred","Griffith"
"Dean (VII)","Jones"
"Karl (II)","Kuhn"
"Curt","Lowens"
"Ty","Sears"
"Chris","Shafer"
"Heinz","Steeg"
"Blake","Sutton"
"Walter","Weintz"
"Kai","Wulff"
"Lewis","Abernathy"
"Charlie","Arneson"
"Jesse (II)","Baker"
"Justin (II)","Baker"
"Dr. John","Broadwater"
"Genya","Chernaiev"
"John (I)","Donovan"
"Aaron C.","Fitzgerald"
"Piper","Gunnarson"
"Corey","Jaskolski"
"Thomas","Kilroy"
"Jeffrey N.","Ledda"
"Don (II)","Lynch"
"Ken","Marschall"
"Victor","Nischeta"
"Vince","Pace"
"Jason (II)","Paul"
"Charles (I)","Pellegrino"
"Dr. Anatoly M.","Sagalevitch"
"Eric","Schmitz"
"Justin","Shaw"
"Miguel","Wilkins"
"Federico","Zambrano"
"Stacey","Hayes"
"Dr. Lori","Johnston"
"Judy","Prestininzi"
"Dale (II)","Ridge"
"Tava","Smiley"
"Janace","Tashjian"
"Adriana","Valdez"
"Phil","Colby"
"Gaetano","Del Grande"
"Paul","Drummond"
"Ancile","Gloudon"
"Ricky Paull","Goldin"
"Paul","Issa"
"Lee","Krug"
"Steve","Marachuk"
"Jim","Pair"
"Johnny","Ralston"
"Ted","Richert"
"Arnie","Ross"
"Albert (I)","Sanders"
"Ward","White"
"Aston S.","Young"
"Tracey","Berg"
"Dorothy","Cunningham"
"Carole (I)","Davis"
"Leslie (I)","Graves"
"Connie Lynn","Hadden"
"Hildy","Magnasun"
"Jan Eisner","Mannon"
"Tricia","O'Neil"
"Anne","Pollack"
"Sally","Ricca"
"Myra","Weisler"
"Seth (I)","Adkins"
"Scott G.","Anderson"
"Kris","Andersson"
"Richard (II)","Ashton"
"Jason","Barry"
"Eric","Braeden"
"Paul","Brightwell"
"Mike","Butters"
"Chris (I)","Byrne"
"Bruno","Campolo"
"Mark","Capri"
"Nicholas","Cascone"
"Aaron James","Cash"
"Marc","Cass"
"Mark Lindsay","Chapman"
"Brendan","Connolly"
"Gregory (I)","Cooke"
"Chris","Cragnotti"
"Simon (I)","Crane"
"David","Cronnelly"
"Barry","Dennen"
"Leonardo","DiCaprio"
"Ron","Donachie"
"Shay","Duffin"
"Martin","East"
"Greg (II)","Ellis"
"Michael","Ensign"
"Jonathan","Evans-Jones"
"Anders (I)","Falk"
"Edward","Fletcher"
"Terry","Forestal"
"Edmund Alan","Forsyth"
"Bernard (I)","Fox"
"Richard (I)","Fox"
"Romeo","Francis"
"Thomas","Füri"
"Victor","Garber"
"James (IV)","Garrett"
"Werner","Giger"
"Richard (I)","Graham"
"Ioan","Gruffudd"
"Lorenz","Hasler"
"Paul (IV)","Herbert"
"Bernard","Hill"
